layer1,layer2,dropout1,dropout2,reg1,reg2,epochs,accuracy,f1,time
64,64,0.2,0.2,0.0,0.0,50,0.8241687979539642,0.8515321292050073,6:26
64,128,0.2,0.2,0.0,0.0,50,0.8573209718670076,0.8767186522134445,6:34
64,256,0.2,0.2,0.0,0.0,50,0.8735933503836317,0.8913166032688995,6:43
64,512,0.2,0.2,0.0,0.0,50,0.8865409207161126,0.8998826724696796,6:53
128,64,0.2,0.2,0.0,0.0,50,0.887883631713555,0.8981263057922071,7:3
128,128,0.2,0.2,0.0,0.0,50,0.9069373401534526,0.9129851531703214,7:35
128,256,0.2,0.2,0.0,0.0,50,0.9168478260869566,0.9213838362302229,8:10
128,512,0.2,0.2,0.0,0.0,50,0.9248721227621484,0.9279413226472817,8:46
256,64,0.2,0.2,0.0,0.0,50,0.9235613810741687,0.9261158139671652,9:21
256,128,0.2,0.2,0.0,0.0,50,0.9319053708439897,0.9335238973318978,9:56
256,256,0.2,0.2,0.0,0.0,50,0.9387787723785166,0.9394299879733039,10:35
256,512,0.2,0.2,0.0,0.0,50,0.9397378516624041,0.9399753475636548,11:20
512,64,0.2,0.2,0.0,0.0,50,0.9379795396419437,0.938752593854263,21:6
512,128,0.2,0.2,0.0,0.0,50,0.9402493606138107,0.940602059517512,21:21
512,256,0.2,0.2,0.0,0.0,50,0.9427749360613811,0.9429688489278043,21:38
512,512,0.2,0.2,0.0,0.0,50,0.9467071611253197,0.9467404416227604,21:55
